id,emp_id,employee_name,department_name,payrun_name,period_start,period_end,gross_amount,deduction_amount,net_amount,payslip_status,payrun_status,sent_at,created_at
"4006","EMP00256","Mr  Robot","Human Resources","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","0.00","200.00","0.00","Generated","Computed","","2026-09-05T23:08:01.183Z"
"3727","EMP-18B74E","Isha Sharma","Engineering","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","59200.00","4640.00","54560.00","Generated","Computed","2026-09-05T19:46:01.136Z","2026-09-05T16:16:03.803Z"
"3725","EMP-665750","Dev Yadav","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","58400.00","4580.00","53820.00","Generated","Computed","2026-09-05T19:45:54.081Z","2026-09-05T16:16:03.215Z"
"3723","EMP-03D313","Vivaan Chopra","Finance","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","57600.00","4520.00","53080.00","Generated","Computed","2026-09-05T19:45:26.338Z","2026-09-05T16:16:02.641Z"
"3721","EMP-E0044B","Vivaan Bansal","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","56800.00","4460.00","52340.00","Generated","Computed","2026-09-05T19:45:21.251Z","2026-09-05T16:16:02.083Z"
"3719","EMP-EE0A11","Anjali Gupta","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","56000.00","4400.00","51600.00","Generated","Computed","2026-09-05T19:45:16.347Z","2026-09-05T16:16:01.490Z"
"3717","EMP-395314","Aarav Mishra","Engineering","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","55200.00","4340.00","50860.00","Generated","Computed","2026-09-05T19:44:48.810Z","2026-09-05T16:16:00.889Z"
"3715","EMP-C923B6","Reyansh Subramaniam","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","54400.00","4280.00","50120.00","Generated","Computed","2026-09-05T19:44:21.891Z","2026-09-05T16:16:00.368Z"
"3713","EMP-AD155F","Karan Krishnan","Human Resources","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","53600.00","4220.00","49380.00","Generated","Computed","2026-09-05T19:44:16.953Z","2026-09-05T16:15:59.820Z"
"3711","EMP-3E483C","Divya Shah","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","52800.00","4160.00","48640.00","Generated","Computed","2026-09-05T19:44:12.109Z","2026-09-05T16:15:59.254Z"
"3709","EMP-86960E","Nisha Kapoor","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","52000.00","4100.00","47900.00","Generated","Computed","2026-09-05T19:44:06.614Z","2026-09-05T16:15:58.726Z"
"3707","EMP-CAD3C8","Sanjay Subramaniam","Human Resources","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","51200.00","4040.00","47160.00","Generated","Computed","2026-09-05T19:44:01.467Z","2026-09-05T16:15:58.215Z"
"3705","EMP-E8DBA7","Vihaan Trivedi","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","50400.00","3980.00","46420.00","Generated","Computed","2026-09-05T19:43:34.243Z","2026-09-05T16:15:57.608Z"
"3703","EMP-D8E3B9","Gaurav Rathore","Engineering","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","49600.00","3920.00","45680.00","Generated","Computed","2026-09-05T19:43:29.042Z","2026-09-05T16:15:57.074Z"
"3701","EMP-5096E5","Ishaan Chopra","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","48800.00","3860.00","44940.00","Generated","Computed","2026-09-05T19:43:23.532Z","2026-09-05T16:15:56.448Z"
"3699","EMP-7EF0F0","Shreya Das","Engineering","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","48000.00","3800.00","44200.00","Generated","Computed","2026-09-05T19:42:56.067Z","2026-09-05T16:15:55.866Z"
"3697","EMP-12A7C2","Siddharth Kaur","Finance","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","47200.00","3740.00","43460.00","Generated","Computed","2026-09-05T19:42:28.926Z","2026-09-05T16:15:55.272Z"
"3695","EMP-B16B1C","Divya Kumar","Engineering","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","46400.00","3680.00","42720.00","Generated","Computed","2026-09-05T19:42:23.731Z","2026-09-05T16:15:54.652Z"
"3693","EMP-5AD2CA","Simran Chatterjee","Engineering","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","45600.00","3620.00","41980.00","Generated","Computed","2026-09-05T19:42:18.880Z","2026-09-05T16:15:54.058Z"
"3691","EMP-B465CB","Krishna Ghosh","Finance","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","44800.00","3560.00","41240.00","Generated","Computed","2026-09-05T19:41:50.548Z","2026-09-05T16:15:53.272Z"
"3689","EMP-8FE05D","Vihaan Chauhan","Engineering","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","44000.00","3500.00","40500.00","Generated","Computed","2026-09-05T19:41:45.041Z","2026-09-05T16:15:52.722Z"
"3687","EMP-56BC71","Ishaan Yadav","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","80000.00","6200.00","73800.00","Generated","Computed","2026-09-05T19:41:39.744Z","2026-09-05T16:15:52.195Z"
"3685","EMP-3654EA","Kabir Verma","Human Resources","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","79200.00","6140.00","73060.00","Generated","Computed","2026-09-05T19:41:34.362Z","2026-09-05T16:15:51.658Z"
"3683","EMP-B2C016","Anjali Reddy","Human Resources","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","78400.00","6080.00","72320.00","Generated","Computed","2026-09-05T19:41:07.054Z","2026-09-05T16:15:51.088Z"
"3681","EMP-40ADF9","Ananya Shah","Marketing & Sales","September 2026 Payroll","2026-08-31T18:30:00.000Z","2026-09-29T18:30:00.000Z","77600.00","6020.00","71580.00","Generated","Computed","2026-09-05T19:41:01.700Z","2026-09-05T16:15:50.332Z"
